mississauga-cities-v2	Mississauga
peace-tower-ottawa-landmarks-v2	Béke-torony (Ottawa)
ontario-place-cinesphere-landmarks-v2	Ontario Place Cinesphere
brockville-railway-tunnel-landmarks-v2	Brockville-i vasúti alagút
toronto-sign-landmarks-v2	Toronto felirat
calgary-peace-bridge-landmarks-v2	Béke-híd (Calgary)
gooderham-building-landmarks-v2	Gooderham-épület
hartland-covered-bridge-landmarks-v2	Hartlandi fedett híd
macdonald-bridge-halifax-landmarks-v2	Angus L. Macdonald híd
winnipeg-legislative-building-landmarks-v2	Manitoba Törvényhozási Épület
saskatchewan-legislative-building-landmarks-v2	Saskatchewan Törvényhozási Épület
edmonton-funicular-landmarks-v2	Edmontoni sikló
prince-edward-viaduct-toronto-landmarks-v2	Prince Edward viadukt
the-forks-winnipeg-landmarks-v2	The Forks (Winnipeg)
toronto-zoo-life-v2	Torontói Állatkert
calgary-zoo-life-v2	Calgary Állatkert
granby-zoo-life-v2	Granby Állatkert
vancouver-aquarium-life-v2	Vancouveri Akvárium
ripleys-aquarium-canada-life-v2	Ripley's Akvárium, Kanada
african-lion-safari-life-v2	Afrikai Oroszlán Szafari
parc-omega-life-v2	Omega Park
saskatoon-forestry-farm-park-zoo-life-v2	Saskatoon Erdészeti Farm Park és Állatkert
assiniboine-park-zoo-life-v2	Assiniboine Park Állatkert
edmonton-valley-zoo-life-v2	Edmonton Valley Állatkert
magnetic-hill-zoo-life-v2	Magnetic Hill Állatkert
pei-potato-farming-life-v2	PEI burgonyatermesztés
niagara-icewine-life-v2	Niagara jégbor készítés
prairie-canola-fields-life-v2	Préri repceföldek
fraser-valley-blueberries-life-v2	Fraser-völgyi áfonya
annapolis-valley-apples-life-v2	Annapolis-völgyi alma
pacific-salmon-run-life-v2	Csendes-óceáni lazacvonulás
gwaii-haanas-marine-life-v2	Gwaii Haanas tengeri élővilág
churchill-beluga-whales-life-v2	Churchill-i belugák
elk-island-bison-life-v2	Elk-szigeti Nemzeti Park bölényei
point-pelee-bird-migration-life-v2	Point Pelee madárvonulás
la-mauricie-black-bears-life-v2	La Mauricie feketemedvék
calaway-park-life-v2	Calaway Park
la-ronde-montreal-life-v2	La Ronde
science-world-vancouver-life-v2	Tudományos Világ (Vancouver)
ontario-science-centre-life-v2	Ontario Tudományos Központ
saskatchewan-cranberry-life-v2	Saskatchewani tőzegáfonya-farmok
gaspereau-valley-wines-life-v2	Gaspereau-völgyi borok
southern-alberta-sugar-beets-life-v2	Dél-Albertai cukorrépa
montreal-insectarium-life-v2	Montréali Rovartani Múzeum
mount-assiniboine-nature-v2	Mount Assiniboine
south-nahanni-river-nature-v2	South Nahanni-folyó
great-slave-lake-nature-v2	Nagy-Rabszolga-tó
haida-gwaii-islands-nature-v2	Haida Gwaii
pacific-rim-national-park-forest-nature-v2	Pacific Rim Nemzeti Park erdő
beaufort-sea-nature-v2	Beaufort-tenger
mount-temple-nature-v2	Mount Temple
athabasca-river-nature-v2	Athabasca-folyó
lake-superior-nature-v2	Felső-tó
magdalen-islands-nature-v2	Magdalen-szigetek
boreal-forest-nature-v2	Kanadai boreális erdő
hudson-bay-nature-v2	Hudson-öböl
mount-waddington-nature-v2	Mount Waddington
churchill-river-saskatchewan-nature-v2	Churchill-folyó (Saskatchewan)
lake-winnipeg-nature-v2	Winnipeg-tó
prince-edward-island-nature-v2	Prince Edward-sziget
carmanah-walbran-provincial-park-forest-nature-v2	Carmanah Walbran Tartományi Park erdő
mount-assiniboine-park-forest-nature-v2	Mount Assiniboine Park erdő
gwaii-haanas-national-park-reserve-forest-nature-v2	Gwaii Haanas Nemzeti Park erdő
mount-columbia-nature-v2	Mount Columbia
peace-river-nature-v2	Peace-folyó
lake-athabasca-nature-v2	Athabasca-tó
cape-breton-island-nature-v2	Cape Breton-sziget
manitoulin-island-nature-v2	Manitoulin-sziget
yukon-river-nature-v2	Yukon-folyó
mount-foraker-nature-v2	Mount St. Elias
saint-john-river-nature-v2	Saint John-folyó
malgne-lake-nature-v2	Maligne-tó
bow-river-nature-v2	Bow-folyó
thousand-islands-refill	Thousand Islands
montreal-botanical-garden-refill	Montréali Botanikus Kert
